id,argument_type,category,description,strength_indicators,weaknesses,examples,evidence_requirements,fallacy_risks
1,inductive,logical,"Reasoning from specific observations to general principles","Large sample size, diverse examples, consistent patterns","Limited scope, hasty generalization risk","Scientific studies, trend analysis","Multiple representative cases, statistical significance","Hasty generalization, cherry picking"
2,deductive,logical,"Reasoning from general principles to specific conclusions","Valid logical structure, true premises, necessary conclusion","Premises may be false, limited by initial assumptions","Mathematical proofs, syllogisms","Sound premises, valid logical form","Affirming the consequent, denying the antecedent"
3,comparative,analytical,"Evaluating differences and similarities between cases","Clear criteria, controlled variables, relevant comparisons","Selection bias, confounding variables","Case studies, benchmarking","Comparable cases, standardized metrics","False analogy, cherry picking"
4,abductive,logical,"Inference to the best explanation from incomplete information","Multiple hypotheses considered, fits available evidence","Incomplete data, alternative explanations possible","Medical diagnosis, scientific hypothesis","Observable phenomena, background knowledge","False cause, hasty generalization"
5,analogical,rhetorical,"Drawing conclusions based on similarities between cases","Relevant similarities, clear mapping","Superficial similarities, disanalogy","Legal precedent, scientific models","Structural similarities, domain knowledge","False analogy, weak analogy"
6,causal,empirical,"Establishing cause-and-effect relationships","Temporal sequence, mechanism, controls","Correlation vs causation, confounding","Experimental studies, impact analysis","Controlled conditions, temporal data","Post hoc ergo propter hoc, correlation implies causation"
7,statistical,empirical,"Using numerical data to support conclusions","Large sample size, significance tests, confidence intervals","Sampling bias, statistical misuse","Polling, clinical trials","Representative samples, proper methodology","Hasty generalization, base rate neglect"
8,pragmatic,practical,"Justification based on practical consequences and outcomes","Measurable results, cost-effectiveness, feasibility","Short-term focus, unintended consequences","Policy evaluation, business decisions","Implementation data, outcome metrics","Appeal to consequences, false dilemma"
9,ethical,philosophical,"Arguments based on moral principles and values","Universal principles, consistency, stakeholder consideration","Cultural relativism, competing values","Rights arguments, justice claims","Moral frameworks, stakeholder analysis","Appeal to emotion, moral relativism"
10,precedent,legal,"Arguments based on established previous decisions or practices","Relevant precedent, consistent application","Changed circumstances, bad precedent","Legal reasoning, organizational policy","Historical cases, documented decisions","Appeal to tradition, irrelevant precedent"
11,authority,rhetorical,"Arguments based on expert knowledge and credibility","Recognized expertise, relevant domain, consensus","Appeal to false authority, expertise limits","Expert testimony, scientific consensus","Verified credentials, peer recognition","Appeal to false authority, argument from authority"
12,consensus,social,"Arguments based on widespread agreement","Broad agreement, informed participants","Groupthink, majority not always right","Scientific consensus, democratic decisions","Survey data, expert polls","Bandwagon fallacy, appeal to popularity"
13,existential,philosophical,"Arguments about necessity for survival or existence","Clear existential threat, no alternatives","Catastrophizing, false urgency","Crisis management, survival strategies","Risk assessment, scenario analysis","Appeal to fear, slippery slope"
14,teleological,philosophical,"Arguments based on purpose, goals, or final causes","Clear purpose, beneficial outcomes","Assumes intentional design","Functional explanations, design arguments","Purpose identification, outcome analysis","Teleological fallacy, design assumption"
15,falsification,scientific,"Arguments that can be tested and potentially disproven","Testable predictions, clear criteria","Confirms but doesn't prove","Scientific theories, hypothesis testing","Experimental design, clear metrics","Confirmation bias, moving goalposts"
16,empirical,scientific,"Arguments based on observable evidence and experience","Direct observation, replicable results","Observer bias, limited scope","Laboratory studies, field research","Systematic observation, measurement tools","Anecdotal evidence, hasty generalization"
17,theoretical,academic,"Arguments based on conceptual frameworks and models","Logical consistency, explanatory power","Abstraction from reality","Scientific theories, economic models","Conceptual development, logical structure","Theoretical fallacy, reification"
